detector,name,x_center,y_center,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y
0,R01_S00,-169.26000000000002,-296.26,-189.615,-316.255,-148.905,-316.255,-148.905,-276.265,-189.615,-276.265
1,R01_S01,-127.01,-296.26,-147.365,-316.255,-106.655,-316.255,-106.655,-276.265,-147.365,-276.265
2,R01_S02,-84.76,-296.26,-105.11500000000001,-316.255,-64.405,-316.255,-64.405,-276.265,-105.11500000000001,-276.265
3,R01_S10,-169.26000000000002,-254.01,-189.615,-274.005,-148.905,-274.005,-148.905,-234.015,-189.615,-234.015
4,R01_S11,-127.01,-254.01,-147.365,-274.005,-106.655,-274.005,-106.655,-234.015,-147.365,-234.015
5,R01_S12,-84.76,-254.01,-105.11500000000001,-274.005,-64.405,-274.005,-64.405,-234.015,-105.11500000000001,-234.015
6,R01_S20,-169.26000000000002,-211.76,-189.615,-231.755,-148.905,-231.755,-148.905,-191.765,-189.615,-191.765
7,R01_S21,-127.01,-211.76,-147.365,-231.755,-106.655,-231.755,-106.655,-191.765,-147.365,-191.765
8,R01_S22,-84.76,-211.76,-105.11500000000001,-231.755,-64.405,-231.755,-64.405,-191.765,-105.11500000000001,-191.765
9,R02_S00,-42.260000000000005,-296.26,-62.615,-316.255,-21.905,-316.255,-21.905,-276.265,-62.615,-276.265
10,R02_S01,-0.010000000000001563,-296.26,-20.365000000000002,-316.255,20.345,-316.255,20.345,-276.265,-20.365000000000002,-276.265
11,R02_S02,42.239999999999995,-296.26,21.884999999999998,-316.255,62.595,-316.255,62.595,-276.265,21.884999999999998,-276.265
12,R02_S10,-42.260000000000005,-254.01,-62.615,-274.005,-21.905,-274.005,-21.905,-234.015,-62.615,-234.015
13,R02_S11,-0.010000000000001563,-254.01,-20.365000000000002,-274.005,20.345,-274.005,20.345,-234.015,-20.365000000000002,-234.015
14,R02_S12,42.239999999999995,-254.01,21.884999999999998,-274.005,62.595,-274.005,62.595,-234.015,21.884999999999998,-234.015
15,R02_S20,-42.260000000000005,-211.76,-62.615,-231.755,-21.905,-231.755,-21.905,-191.765,-62.615,-191.765
16,R02_S21,-0.010000000000001563,-211.76,-20.365000000000002,-231.755,20.345,-231.755,20.345,-191.765,-20.365000000000002,-191.765
17,R02_S22,42.239999999999995,-211.76,21.884999999999998,-231.755,62.595,-231.755,62.595,-191.765,21.884999999999998,-191.765
18,R03_S00,84.74,-296.26,64.38499999999999,-316.255,105.095,-316.255,105.095,-276.265,64.38499999999999,-276.265
19,R03_S01,126.99,-296.26,106.63499999999999,-316.255,147.345,-316.255,147.345,-276.265,106.63499999999999,-276.265
20,R03_S02,169.23999999999998,-296.26,148.885,-316.255,189.595,-316.255,189.595,-276.265,148.885,-276.265
21,R03_S10,84.74,-254.01,64.38499999999999,-274.005,105.095,-274.005,105.095,-234.015,64.38499999999999,-234.015
22,R03_S11,126.99,-254.01,106.63499999999999,-274.005,147.345,-274.005,147.345,-234.015,106.63499999999999,-234.015
23,R03_S12,169.23999999999998,-254.01,148.885,-274.005,189.595,-274.005,189.595,-234.015,148.885,-234.015
24,R03_S20,84.74,-211.76,64.38499999999999,-231.755,105.095,-231.755,105.095,-191.765,64.38499999999999,-191.765
25,R03_S21,126.99,-211.76,106.63499999999999,-231.755,147.345,-231.755,147.345,-191.765,106.63499999999999,-191.765
26,R03_S22,169.23999999999998,-211.76,148.885,-231.755,189.595,-231.755,189.595,-191.765,148.885,-191.765
27,R10_S00,-296.26,-169.26,-316.615,-189.255,-275.90500000000003,-189.255,-275.90500000000003,-149.265,-316.615,-149.265
28,R10_S01,-254.01000000000002,-169.26,-274.365,-189.255,-233.655,-189.255,-233.655,-149.265,-274.365,-149.265
29,R10_S02,-211.76000000000002,-169.26,-232.115,-189.255,-191.405,-189.255,-191.405,-149.265,-232.115,-149.265
30,R10_S10,-296.26,-127.00999999999999,-316.615,-147.005,-275.90500000000003,-147.005,-275.90500000000003,-107.01499999999999,-316.615,-107.01499999999999
31,R10_S11,-254.01000000000002,-127.00999999999999,-274.365,-147.005,-233.655,-147.005,-233.655,-107.01499999999999,-274.365,-107.01499999999999
32,R10_S12,-211.76000000000002,-127.00999999999999,-232.115,-147.005,-191.405,-147.005,-191.405,-107.01499999999999,-232.115,-107.01499999999999
33,R10_S20,-296.26,-84.75999999999999,-316.615,-104.755,-275.90500000000003,-104.755,-275.90500000000003,-64.76499999999999,-316.615,-64.76499999999999
34,R10_S21,-254.01000000000002,-84.75999999999999,-274.365,-104.755,-233.655,-104.755,-233.655,-64.76499999999999,-274.365,-64.76499999999999
35,R10_S22,-211.76000000000002,-84.75999999999999,-232.115,-104.755,-191.405,-104.755,-191.405,-64.76499999999999,-232.115,-64.76499999999999
36,R11_S00,-169.25,-169.25,-189.725,-189.265,-148.77499999999998,-189.265,-148.77499999999998,-149.23499999999999,-189.725,-149.23499999999999
37,R11_S01,-127.0,-169.25,-147.475,-189.265,-106.52499999999999,-189.265,-106.52499999999999,-149.23499999999999,-147.475,-149.23499999999999
38,R11_S02,-84.75,-169.25,-105.225,-189.265,-64.27499999999999,-189.265,-64.27499999999999,-149.23499999999999,-105.225,-149.23499999999999
39,R11_S10,-169.25,-126.99999999999999,-189.725,-147.015,-148.77499999999998,-147.015,-148.77499999999998,-106.98499999999999,-189.725,-106.98499999999999
40,R11_S11,-127.0,-126.99999999999999,-147.475,-147.015,-106.52499999999999,-147.015,-106.52499999999999,-106.98499999999999,-147.475,-106.98499999999999
41,R11_S12,-84.75,-126.99999999999999,-105.225,-147.015,-64.27499999999999,-147.015,-64.27499999999999,-106.98499999999999,-105.225,-106.98499999999999
42,R11_S20,-169.25,-84.75,-189.725,-104.765,-148.77499999999998,-104.765,-148.77499999999998,-64.735,-189.725,-64.735
43,R11_S21,-127.0,-84.75,-147.475,-104.765,-106.52499999999999,-104.765,-106.52499999999999,-64.735,-147.475,-64.735
44,R11_S22,-84.75,-84.75,-105.225,-104.765,-64.27499999999999,-104.765,-64.27499999999999,-64.735,-105.225,-64.735
45,R12_S00,-42.25,-169.25,-62.725,-189.265,-21.775,-189.265,-21.775,-149.23499999999999,-62.725,-149.23499999999999
46,R12_S01,0.0,-169.25,-20.475,-189.265,20.475,-189.265,20.475,-149.23499999999999,-20.475,-149.23499999999999
47,R12_S02,42.25,-169.25,21.775,-189.265,62.725,-189.265,62.725,-149.23499999999999,21.775,-149.23499999999999
48,R12_S10,-42.25,-126.99999999999999,-62.725,-147.015,-21.775,-147.015,-21.775,-106.98499999999999,-62.725,-106.98499999999999
49,R12_S11,0.0,-126.99999999999999,-20.475,-147.015,20.475,-147.015,20.475,-106.98499999999999,-20.475,-106.98499999999999
50,R12_S12,42.25,-126.99999999999999,21.775,-147.015,62.725,-147.015,62.725,-106.98499999999999,21.775,-106.98499999999999
51,R12_S20,-42.25,-84.75,-62.725,-104.765,-21.775,-104.765,-21.775,-64.735,-62.725,-64.735
52,R12_S21,0.0,-84.75,-20.475,-104.765,20.475,-104.765,20.475,-64.735,-20.475,-64.735
53,R12_S22,42.25,-84.75,21.775,-104.765,62.725,-104.765,62.725,-64.735,21.775,-64.735
54,R13_S00,84.75,-169.25,64.275,-189.265,105.22500000000001,-189.265,105.22500000000001,-149.23499999999999,64.275,-149.23499999999999
55,R13_S01,127.0,-169.25,106.525,-189.265,147.47500000000002,-189.265,147.47500000000002,-149.23499999999999,106.525,-149.23499999999999
56,R13_S02,169.25,-169.25,148.775,-189.265,189.72500000000002,-189.265,189.72500000000002,-149.23499999999999,148.775,-149.23499999999999
57,R13_S10,84.75,-126.99999999999999,64.275,-147.015,105.22500000000001,-147.015,105.22500000000001,-106.98499999999999,64.275,-106.98499999999999
58,R13_S11,127.0,-126.99999999999999,106.525,-147.015,147.47500000000002,-147.015,147.47500000000002,-106.98499999999999,106.525,-106.98499999999999
59,R13_S12,169.25,-126.99999999999999,148.775,-147.015,189.72500000000002,-147.015,189.72500000000002,-106.98499999999999,148.775,-106.98499999999999
60,R13_S20,84.75,-84.75,64.275,-104.765,105.22500000000001,-104.765,105.22500000000001,-64.735,64.275,-64.735
61,R13_S21,127.0,-84.75,106.525,-104.765,147.47500000000002,-104.765,147.47500000000002,-64.735,106.525,-64.735
62,R13_S22,169.25,-84.75,148.775,-104.765,189.72500000000002,-104.765,189.72500000000002,-64.735,148.775,-64.735
63,R14_S00,211.75,-169.25,191.275,-189.265,232.22500000000002,-189.265,232.22500000000002,-149.23499999999999,191.275,-149.23499999999999
64,R14_S01,254.0,-169.25,233.525,-189.265,274.475,-189.265,274.475,-149.23499999999999,233.525,-149.23499999999999
65,R14_S02,296.25,-169.25,275.775,-189.265,316.72499999999997,-189.265,316.72499999999997,-149.23499999999999,275.775,-149.23499999999999
66,R14_S10,211.75,-126.99999999999999,191.275,-147.015,232.22500000000002,-147.015,232.22500000000002,-106.98499999999999,191.275,-106.98499999999999
