source_id,ra,dec,phot_g_mean_mag,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion
4829752851055824512,59.71108369895484,-49.51800829066448,19.622913,95,2.8890529,1.0619282,,,,,,,,,,,,,,,,,
4829754019286517248,59.61844218772483,-49.46012033472208,16.960957,31,-0.029598065,1.2614893,,,,,,,,,,,,,,,,,
4829805902491457024,59.39208943213771,-49.29244318474813,16.789343,31,0.19841382,1.2853199,,,,,,,,,,,,,,,,,
4830246286961678464,61.79647308276945,-49.868941389469974,20.642506,95,1.2508221,1.1839232,,,,,,,,,,,,,,,,,
4830248898301801728,61.60960894970121,-49.850093820252894,19.4392,31,0.7474713,1.1116967,,,,,,,,,,,,,,,,,
4830249138819961216,61.73844020434254,-49.881145995918416,19.811935,31,0.06757702,1.1839267,,,,,,,,,,,,,,,,,
4830249727232352896,61.78141840148173,-49.82576486860353,17.583437,31,0.8913193,1.2007729,,,,,,,,,,,,,,,,,
4830250100892658048,61.75123944094083,-49.784468376765616,20.737661,95,-1.1737642,1.500288,,,,,,,,,,,,,,,,,
4830250238331602048,61.67261378943697,-49.83617154261838,18.970985,31,-0.6303308,1.1545616,,,,,,,,,,,,,,,,,
4830250238333922560,61.67160004808268,-49.83775347754892,20.313887,31,-1.2371868,1.0725701,,,,,,,,,,,,,,,,,
4830250375770561024,61.682823914403926,-49.81452104520718,19.079071,95,2.5962703,1.3736185,,,,,,,,,,,,,,,,,
4830250513209515520,61.62206056776023,-49.80791041477367,17.262392,31,-0.8173718,1.162606,17.259487,17.249126,0.061333373,False,False,True,False,False,False,False,False,False,False,False,True,False,False
4830312468113159552,62.660091592664536,-49.57225847275924,18.304068,95,-0.30809143,,,,,,,,,,,,,,,,,,
4830317617778786944,62.7327079154099,-49.55905525642203,20.26546,31,1.8278334,1.1612755,,,,,,,,,,,,,,,,,
4830318343629884416,62.75197162450249,-49.48305246540362,16.957058,31,-1.1275879,1.2009517,,,,,,,,,,,,,,,,,
4830318648570990592,62.701094857129696,-49.494779338696446,20.081907,95,-0.14836545,1.4757928,,,,,,,,,,,,,,,,,
4830319748082657152,62.834246769170925,-49.44389595175411,18.504461,31,-0.29168943,1.1871042,,,,,,,,,,,,,,,,,
4830320744515088896,62.78222267958289,-49.42088982924543,19.64238,95,1.1417385,1.3356723,,,,,,,,,,,,,,,,,
4830330124723346304,62.14456354121494,-49.743928974847925,18.680567,31,-0.90750706,1.3054608,,,,,,,,,,,,,,,,,
4830336038893810944,62.16447859027964,-49.72583070251962,20.259214,95,-0.306001,1.4694073,,,,,,,,,,,,,,,,,
4830336962311392000,62.17081506577992,-49.643443827866314,20.574602,95,0.45070907,1.4422843,,,,,,,,,,,,,,,,,
4830337069687267328,62.158808673255166,-49.62058159821908,17.007147,31,1.0778779,1.208642,,,,,,,,,,,,,,,,,
4830338856392045184,62.23497027838372,-49.56278130184042,20.823639,95,5.9705815,1.3050082,,,,,,,,,,,,,,,,,
4830340917977977088,61.84784296821981,-49.76538810739722,18.52984,95,-0.043995306,,,,,,,,,,,,,,,,,,
4830341154199358976,61.91736061086194,-49.7504316107503,19.737902,95,1.1638656,1.3745321,,,,,,,,,,,,,,,,,
4830342081912314368,62.05216494717552,-49.72659442540426,20.711906,95,-0.07847753,1.6180923,,,,,,,,,,,,,,,,,
4830342979560729472,61.89278556550587,-49.685035844869745,20.34938,95,0.2758278,1.7021585,,,,,,,,,,,,,,,,,
4830343902978428032,61.80605639178371,-49.752565959164514,19.756823,95,0.6251554,1.279469,,,,,,,,,,,,,,,,,
4830345178585536768,61.69893863087761,-49.689374298030955,16.313845,31,0.71607673,1.2103838,,,,,,,,,,,,,,,,,
4830346033282290560,61.88154752837002,-49.668576446545735,19.994305,95,1.6253061,1.3763714,,,,,,,,,,,,,,,,,
4830346445599200896,61.899037072691705,-49.63351102843401,20.213255,31,0.16812815,1.1450974,,,,,,,,,,,,,,,,,
4830347407671935744,61.7762944383665,-49.58951170692357,20.207342,31,0.48816764,1.2894069,20.2124,20.223694,0.10341257,False,False,True,False,False,False,False,False,False,False,False,True,False,False
4830349847213380608,62.03586656311541,-49.56923594664939,20.103666,31,1.358174,1.2498004,,,,,,,,,,,,,,,,,
