source_id,ra,dec,phot_g_mean_mag,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion
2487106743822420352,35.258020809494326,-6.142527812963008,19.198214,31,-1.4085454,1.142163,,,,,,,,,,,,,,,,,
2487107224858760704,35.270356586237995,-6.124636148509142,19.727842,31,1.5777211,1.2300911,19.730919,19.70059,0.097904086,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2487111798999466624,35.109784168320516,-6.08900286284102,14.463577,31,0.14580947,1.2227799,,,,,,,,,,,,,,,,,
2487112516258571392,35.18617633034291,-6.012923265531416,18.532734,31,1.3551395,1.1984437,,,,,,,,,,,,,,,,,
2487862142670499200,34.93006443573777,-6.032414752423898,20.468225,95,3.9511974,1.2560719,,,,,,,,,,,,,,,,,
2487862417548118144,34.999660906775,-6.0173288185390446,18.60693,31,0.3185533,1.217408,,,,,,,,,,,,,,,,,
2487866197123314048,34.8672685589873,-5.989346203912573,17.657846,31,0.42616832,1.2338982,,,,,,,,,,,,,,,,,
2487866471997359104,34.847993129094824,-5.963246979735752,18.350239,31,-0.53917927,1.3465289,,,,,,,,,,,,,,,,,
2487884201622420864,34.71603096642343,-5.816806147511967,19.736618,31,0.77107644,1.2132756,,,,,,,,,,,,,,,,,
2487884717018516096,34.716221158989654,-5.764070082402389,18.503017,31,0.5868156,1.2401726,,,,,,,,,,,,,,,,,
2487884854457453696,34.80758144587531,-5.806442423224035,18.702349,31,3.9016726,1.320125,,,,,,,,,,,,,,,,,
2487932270896427392,34.606598833837,-5.736229867253602,18.857315,95,-1.7164849,1.4126338,,,,,,,,,,,,,,,,,
2487934091964962560,34.758302599981135,-5.663788026979907,20.811207,95,0.7297623,1.5461382,,,,,,,,,,,,,,,,,
2487936187908697984,34.581495675595264,-5.681577937133553,20.69172,95,-0.2834866,1.4283482,,,,,,,,,,,,,,,,,
2487938112051991296,34.69258798208468,-5.623467561706288,17.414618,31,2.108705,1.3816212,,,,,,,,,,,,,,,,,
2487939245926458112,34.62403909001075,-5.587248860124319,20.356277,95,1.7405167,1.4063883,,,,,,,,,,,,,,,,,
2487951340554965504,34.57517340742824,-5.549371173464469,20.58709,95,-1.3375472,1.4519241,,,,,,,,,,,,,,,,,
2487952027746049408,34.504050652000686,-5.532014030221985,18.896095,31,0.06485314,1.144052,,,,,,,,,,,,,,,,,
2487956670606011136,34.42637466183738,-5.4361182146432485,16.823013,31,2.5958135,1.239122,,,,,,,,,,,,,,,,,
2488535627902143104,35.95007273212637,-6.215332419845491,20.381878,95,1.9777508,1.4134451,,,,,,,,,,,,,,,,,
2488537826925339264,36.04092607851181,-6.14124577430937,17.59425,31,-2.6188686,1.3126811,,,,,,,,,,,,,,,,,
2488545042470436736,35.73900067143473,-6.223897291750854,19.6518,95,0.43912148,1.4445246,,,,,,,,,,,,,,,,,
2488546107622254464,35.691142607574214,-6.196594473983036,20.004446,95,-0.5386069,1.6644199,,,,,,,,,,,,,,,,,
2488549749754604544,35.96539732138538,-6.131929092752567,20.235102,95,-0.32038367,1.162117,,,,,,,,,,,,,,,,,
2488549822769578752,35.99486379053769,-6.114091991821776,15.867762,31,2.5512102,1.2113177,,,,,,,,,,,,,,,,,
2488551128439065984,35.75483174797327,-6.186707962357909,19.818722,95,-0.55283916,1.2660271,,,,,,,,,,,,,,,,,
2488551433381724160,35.7542735251921,-6.158918275645641,19.216908,31,1.1627473,1.2408302,,,,,,,,,,,,,,,,,
2488560676153838720,36.14642667342629,-6.140756648879834,20.887964,95,-0.9556251,1.6189731,,,,,,,,,,,,,,,,,
2488565520874571520,36.37369902756983,-6.053085036850825,19.069923,31,0.12189468,1.1623765,,,,,,,,,,,,,,,,,
2488566006206360704,36.38464749344269,-6.02281616657264,16.015192,31,2.5492558,1.2650309,,,,,,,,,,,,,,,,,
2488569850204113664,36.25678137671806,-5.988996671893064,20.372906,31,-0.15671289,1.5062358,,,,,,,,,,,,,,,,,
2488569884561374720,36.27942220104004,-5.995581588050355,19.432371,95,-1.1839535,1.2113247,,,,,,,,,,,,,,,,,
2488571568191190912,36.46960210773537,-5.9017204201179,20.670368,95,3.2155643,1.4734278,,,,,,,,,,,,,,,,,
2488573324830622208,36.01434664640541,-6.106421240696299,16.39584,31,0.4515262,1.4596189,,,,,,,,,,,,,,,,,
