source_id,ra,dec,phot_g_mean_mag,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion
3833645034830752000,149.92662869323883,0.7185963580103611,15.6176815,31,1.0563495,1.1967126,,,,,,,,,,,,,,,,,
3833647298278433792,150.1378569228127,0.7277920004551836,19.012438,31,0.8867604,1.2899631,,,,,,,,,,,,,,,,,
3833647886689066112,150.1935432740206,0.7282144798343155,14.695908,31,0.024652652,1.1946042,,,,,,,,,,,,,,,,,
3833650596813325184,150.08675880695998,0.7597964150428373,17.213547,31,1.0090994,1.2892331,,,,,,,,,,,,,,,,,
3833651146569141888,149.9935872807125,0.7702153002119576,18.77492,31,-0.8110299,1.1780826,,,,,,,,,,,,,,,,,
3833653345592410368,150.0901552413266,0.8424204524566299,17.46298,31,-1.3805107,1.2652649,,,,,,,,,,,,,,,,,
3833653556045863552,150.12636614930935,0.847693547693832,16.27373,31,0.042299703,1.2510014,,,,,,,,,,,,,,,,,
3833666952049044864,150.72827609975292,0.9335493493777196,19.001272,31,0.08227685,1.3249918,,,,,,,,,,,,,,,,,
3833667746617824256,150.5972164100979,0.8713962267054498,15.97016,31,0.2841108,1.201332,,,,,,,,,,,,,,,,,
3833667918416513280,150.63660285038563,0.9008193813674408,15.49355,31,0.6808078,1.2191261,,,,,,,,,,,,,,,,,
3833672144664345728,150.33474992736345,0.798221756690437,15.766991,31,0.79751945,1.1937947,,,,,,,,,,,,,,,,,
3833674614270688640,150.40768657572033,0.8863257582964557,18.149288,31,-0.58065754,1.2115319,,,,,,,,,,,,,,,,,
3833675026587551488,150.35986338707454,0.8923042049058633,16.308828,31,-0.19169644,1.2142066,,,,,,,,,,,,,,,,,
3833688328101084288,150.44390266839474,1.1278480573984149,18.880838,31,1.2978737,1.2912269,,,,,,,,,,,,,,,,,
3834399402886747520,149.66885169517226,0.8007797145158544,18.257141,31,0.21488532,1.2742419,,,,,,,,,,,,,,,,,
3834403075083331968,149.89095928999745,0.8228918034618332,18.74172,31,1.0980227,1.3095555,,,,,,,,,,,,,,,,,
3834406068675981056,149.85731760754618,0.8294091190996312,14.985561,31,-1.3466119,1.2176669,,,,,,,,,,,,,,,,,
3834412077334935936,149.5362037182532,0.8482409539971559,19.349241,31,-0.77495974,1.1858178,,,,,,,,,,,,,,,,,
3834416234863285632,149.43509864215193,0.880626828018282,16.518358,31,1.9582834,1.2241335,,,,,,,,,,,,,,,,,
3834416612820679168,149.50051615268796,0.9278238209432197,20.04755,31,-0.9473558,1.1589241,,,,,,,,,,,,,,,,,
3834418644340178816,149.5326953142024,0.9890030521815585,14.08914,31,0.02853336,1.2024859,,,,,,,,,,,,,,,,,
3834420598550082304,149.73641337457153,0.9789113724879461,17.989399,31,2.5037339,1.2324833,,,,,,,,,,,,,,,,,
3834421354464343552,149.77677893991458,1.0262062629438125,16.573017,31,-0.6272243,1.24252,,,,,,,,,,,,,,,,,
3834421530558241664,149.84266938839679,0.9968747148503385,17.961193,31,1.1605878,1.2004223,,,,,,,,,,,,,,,,,
3834422316536868096,149.88385163556003,1.0427511974410075,17.57247,31,-0.4764443,1.2446401,,,,,,,,,,,,,,,,,
3834422694494140672,149.82775752924945,1.0295308978395026,19.144302,31,-0.7453415,1.2840632,,,,,,,,,,,,,,,,,
3834423141170750208,149.8624817763321,1.0577318184144942,18.794899,31,0.6543229,1.0996351,,,,,,,,,,,,,,,,,
3834430189212297216,150.10359040977767,1.0217567005285204,16.247463,31,0.5352475,1.2283242,,,,,,,,,,,,,,,,,
